[02.12.07 15:22] q :  Albo duński dynamit :) . 
[28-01-06 11:04] yanoo:: przyda?oby si? co? nowego  
[28-01-06 11:03] uzi:: STARE  
[28-01-06 10:59] dsk:: Podobno zasada "im starsze tym lepsze" dotyczy tylko dobrych win.  
[28-01-06 8:29] kamil: *:.kzp - Kopniak Z Pó?obrotu ?  
[28-01-06 1:44] maverick: * Zgodnie z oswiadczeniem Microsoftu, pliki wykonywalne beda miec w Windows Vista rozszerzenie:.kzp  
[27-01-06 23:34] roolin:: http://www.vwdhosting.net/ - darmowy serwer dla ASP.NET, 50MB na pliki i 30MB na baze... (bazy jeszcze nie testowa?em)  
[27-01-06 23:11] uzi:: STARE  
[27-01-06 23:11] uzi:: ale jakby? zapyta? np. o wino, to bym odpowiedzia?  
[27-01-06 23:09] uzi:: urodzone w listopadzie 1986  
[27-01-06 22:46] q:: Nie znaczy, ale brzmi podejrzanie... Uzi, jakie kobiety wolisz? :>  
[27-01-06 22:40] dsk: *:uziego* dopad? chyba syndrom sesji... :]  
[27-01-06 22:12] uzi:: STARE  
[27-01-06 22:09] nirvanka:: hehe czemu podejrzanie - to ?e co? by?o x-em w przesz?o?ci nie znaczy ?e teraz nim nie jest:)  
[27-01-06 21:52] yanoo:: 83.27.204.175  
[27-01-06 21:32] uzi:: STARE  
[27-01-06 21:25] q: * "Chuck Norris:by?a* kobiet?!" brzmia?oby podejrzanie...  
[27-01-06 21:11] uzi:: STARE  
[27-01-06 20:11] dsk: * Nie, nie zmieni? - po prostu:q* potrafi omija? w?asne pu?apki... niczym Chuck N**orris :P  
[27-01-06 20:07] nirvanka:: o q - ju? zmieni?e?:)  
[27-01-06 19:13] uzi:: STARE  
[27-01-06 18:59] msz:: zna kto? moze jaki? program, ktory potrafi przerobic pdf'a z du?? ilo?ci? jpg na analogicznego pdfa w ktorym te jpg bed? mia?y wiekszy stopien kompresji?  
[27-01-06 18:47] uzi:: STARE  
[27-01-06 18:10] yanoo:: http://di.com.pl/news/12645,1.html mam nadziej?, ?e jeszcze nie by?o :P  
[27-01-06 17:56] q:: Chuc//k Norr//is by?a kobiet?! diab  
[27-01-06 17:39] uzi:: i dzie? dnia Chucka Norrisa?  
[27-01-06 17:34] yanoo:: a kiedy jest dzie? Chucka Norrisa?  
[27-01-06 15:55] q:: A wczoraj po raz katy by? obchodzony ?wiatowy Dzie? Celnictwa.  
[27-01-06 15:29] nirvanka:: Dzisiaj po raz pierwszy jest obchodzony Mi?dzynarodowy Dzie? Pami?ci o Holokau?cie.  
[27-01-06 13:11] kshaczek:: revo: e tam | Czak Noris jako jedyny potrafi powiedziec drzwi w liczbie pojedynczej.  
[27-01-06 11:31] revo:: kshaczek, cos wolno, sprawdz jeszcze raz, najlepiej o 4-5 w nocy ;)  
[27-01-06 1:58] kshaczek:: net dostal kopniaka z polobrotu i chuj.  
[27-01-06 1:50] uzi:: Czak Noris.  
[27-01-06 1:49] kshaczek:: Download speed: 12,326.89 kilobit/sec | Upload speed: 4,424.71 kilobit/sec | kto się zmierzy z akademickim laczem? ;)  
[27-01-06 0:44] uzi:: Quatre-vingt!  
[27-01-06 0:38] Mr C:: Des aujourd´hui, ton nom est "vague" ;)  
[27-01-06 0:27] GhandaL:: widzieli?cie, ?e mo?na si? ju? logowa? na nowej stronie II?  
[27-01-06 0:11] roolin:: chuck norris stoi szybciej niz ty biegniesz  
[27-01-06 0:11] GhandaL:: c'est tres triste, mais parce que? Lisez en francais est tres intéressant ;)  
[27-01-06 0:09] fala:: apres cinq heures de lisez en francais, je ne rappelle pas mon nom ;o  
[27-01-06 0:05] cinu:: dsk, chyba wolalbym jednak zamiast AM2 sieci :-P Choc jak nie bedzie takiej mozliwosc, to chyba nie mam wyboru ;-)  
[27-01-06 0:04] dsk: *:cinu*, teraz mo?na na Alg+Prog+Ob+AM2 ;]  
[27-01-06 0:04] MxmK: *:dsk*, szczerze, cho? z ubolewaniem, nie wierz? w tak? mo?liwo??. Zbyt dobre wyniki osi?gali?cie (niestety nie mog? napisa? "osi?gali?my") z poprzednich kolokwiów.  
[27-01-06 0:03] yanoo:: 5 godzin wyk?adu z algebry lic. pod rz?d... yeah  
[27-01-06 0:02] cinu:: co myslicie o nowym, nowszym planie? Znowu sa kolizje ;-) Chyba nie bedzie w tym semestrze takiej opcji, zeby się zapisac na algebre, programowanie, prog. obiektowe i sieci......  
[27-01-06 0:00] nirvanka:: wybi?a godzina dwunasta!  
[26-01-06 23:57] GhandaL: *:dsk* - http://www.numion.com/ - tutaj sa lepsze statystyki  
[26-01-06 23:51] dsk:: Sprawd? szybkoNie stawia się 2 pytajników po sobie. swojego ??cza: http://www.dsl.cz/  
[26-01-06 23:50] GhandaL:: dobrze by by?o... w ko?cu nie by?o przecie? ani jednego zadania z bry? obrotowych  
[26-01-06 23:37] dsk:: Mo?e jednak b?dzie jakie? kolokwium zaliczeniowe. Np. dla tych z 40-49 punktami.  
[26-01-06 23:28] GhandaL:: mnie brakuje 15 i jak je zdobede, to się chyba cud stanie...  
[26-01-06 23:22] roolin:: ja si? dzieli?em wszsytkim co widzia?em z ka?dym kto pyta?... mam nadzieje ?e moje 7pkt dostane...  
[26-01-06 23:16] dsk:: Pyta?em si?, czy wiecie co? o kole z AM. Po baraczku kra?y?y informacje o tym, jakie b?d? zadania, ale nikt nie raczy? si? t? wiedz? podzieli?. :| Nie zdziwi? si?, jak dostan? tylko 30p.  
[26-01-06 22:58] roolin:: Pana M?otkowskiego chyba kto? bardzo nie lubi... ustawili wyk?ad z PO o 8 w czwartek, a jego pracownia jest o 8 w pi?tek  
[26-01-06 22:54] roolin:: AAAAAAA... jak mo?na by?o tak pozmienia? terminy obiektowego! AAAAA!  
[26-01-06 22:49] GhandaL:: nie bola?o, ale dni mojego studiowania na II s? ju? chyba policzone :)  
[26-01-06 22:37] nirvanka:: bola?o?:)  
[26-01-06 21:34] GhandaL:: dupa zbita...  
[26-01-06 20:43] yanoo:: http://www.yebood.com/index.php?ucat=1001#179 co? dla mastera  
[26-01-06 20:28] yanoo:: wida? nie tylko ja mam spó?niony zap?on ;)  
[26-01-06 20:04] desp: *:yanoo*: by?o!!1! :D  
[26-01-06 19:35] yanoo:: http://gry.wp.pl/filtr;0,0;x;nowinki,10,25531;core.html [masowa akcja policji w Europie (w tym w Polsce)]  
[26-01-06 18:39] revo:: http://www.joemonster.org/i/m/tvn.jpg :D  
[26-01-06 17:19] desp:: @: stare!!1!  
[26-01-06 16:57] Edwin:: jest tutaj jeszcze dsk ?  
[26-01-06 16:05] lispozord:: @: nie strasz ludzi :) Przez chwil? mia?em w?tpliwo?ci, czy to nie naprawd? O_o  
[26-01-06 15:55] kshaczek:: @: jestes nie na czasie [nie jestes trendy] i to jest sciema swoja droga te kotki ;) Chuck_ Norris_ juz je uwolnil...  
[26-01-06 15:10] q:: Klikaj?c Kto jest na forum -> Osoby odpowiedzialne za forum mo?na zobaczy? nowy podzia? obowi?zków na forum. Jest to wersja beta i mo?na jeszcze sk?ada? za?alenia ;).  
[26-01-06 15:02] @:: omg http://www.bonsaikitten.com/bkintro.html  
[26-01-06 13:51] MxmK:: Wyniki tego sonda?u te? s? interesuj?ce. :)  
[26-01-06 13:46] Mr C:: http://wiadomosci.gazeta.pl/wiadomosci/1,53600,3131670.html zobaczcie sonda?  
[26-01-06 13:43] MxmK:: Pewnie posiadaj? takie ?wie?e informacje, ?e wol? si? uczy? ni? Ci odpowiada?. ; )  
[26-01-06 13:38] dsk:: Czy kto? by? na wyk?adzie z AM i posiada ?wie?e informacje o dzisiejszym kole? :]  
[26-01-06 13:23] dsk:: W planie troch? si? pozmienia?o.  
[26-01-06 13:15] uzi:: aktualne wyniki mia?y by? od wczoraj :p  
[26-01-06 13:11] desp: * *q*: :D,:uzi*: ale wyniki z MD mia?y by? od ponad d?u?ej  
[26-01-06 12:12] lispozord:: Woohoo!  
[26-01-06 11:44] uzi:: ale s? wyniki pracowni TWI z PF - które mia?y by? od ponad miesi?ca - wi?c SBA ma jeszcze du?o czasu :)  
[26-01-06 11:05] q:: desp->ju? jest wczoraj  
[26-01-06 1:38] yanoo:: bo nie jad?  
[25-01-06 22:48] nirvanka:: Id?c za rad? Fali: Chuck Norris jedzie na ZOSI?, a Ty czemu si? jeszcze nie zapisa?e?/?aNie stawia się 2 pytajników po sobie.  
[25-01-06 22:36] mati:: Blog narzeczonej programisty: http://enter.stringi.com/  
[25-01-06 22:32] desp:: jeszcze jest dzisiaj...  
[25-01-06 22:22] q:: Jak zwykle obiecany ranking si? pojawi? na http://www.ii.uni.wroc.pl/~magic/ ehhh  
[25-01-06 21:10] desp: *:revo*: jakim cudem uzna?e?, ?e si? nabijam? gra mi si? bardzo podoba  
[25-01-06 20:45] revo:: desp, nie nabijaj si? z NDS :P ta gra w Japonii odnios?a ogromny sukces ;)  
[25-01-06 20:35] tumdum: *:desp*: ja wiem ze stare ale o dziwo nigdzie chyba na forum nie bylo linka :)  
[25-01-06 20:33] desp:: ja polecam http://www.wolfire.com/lugaru.html i http://www.chroniclogic.com/index.htm?gish.htm  
[25-01-06 20:32] desp: *:tumdum*: stare i zajebiste ;)  
[25-01-06 20:25] tumdum:: http://www.harveycartel.org/metanet/downloads.html - polecam :)  
[25-01-06 19:53] roolin:: aha...  
[25-01-06 19:50] uzi:: http://www.google.com/search?hl=en&q=mini+nano+shuffle&btnG=Goo gle+Search <http://www.google.com/search?hl=en&q=mini+nano+shuffle&btnG=Google+Search>  
[25-01-06 19:45] roolin:: uzi, tumdum? nie kumam co w tym ?miesznego, mo?e mnie kto? o?wieci??  
[25-01-06 19:43] tumdum:: lol :)  
[25-01-06 19:42] uzi:: a b?dzie opera nano i opera shuffle? (Za ten post dzi?kuj?: desp)  
[25-01-06 19:38] Hegi:: e! opera mini to fajna sprawa :)  
[25-01-06 19:34] desp:: czy jest kto?, kto zdecydowanie nie chce iNie stawia się 2 pytajników po sobie. na ?wiczenia z JFiZO do TWI i móg?by mi zaj?? miejsce? :)  
[25-01-06 19:32] desp:: to zale?y od ilo?ci punktów  
[25-01-06 19:15] d*:: kshaczek, ja z warunkiem na licencjaciku mam 14:45, wi?c to raczej nie licencjaciku wina...  
[25-01-06 19:14] kshaczek:: ja o 15.30, pewnie przez to ze jestem na licencjaciku  
[25-01-06 19:01] yanoo:: http://wiadomosci.gazeta.pl/wiadomosci/1,60935,3129626.html  
[25-01-06 19:00] wiosna:: no tak... przez ca?e wakacje mia?am dziwne wra?enie, ?e o czym? zapomnia?am... ?e co? jeszcze mia?am za?atwi?. nie dawa?o mi to spokoju a? do dzi? - sorry redrum, nast?pnym razem Ci przypomn? :)  
[25-01-06 18:51] kad:: przepraszam, jezeli juz bylo: http://newsvote.bbc.co.uk/2/hi/technology/4647398.stm  
[25-01-06 18:37] nirvanka:: w sali Balzera w Gmachu G?ównym  
[25-01-06 18:34] q:: Mo?na poprosi? kogo? (chocia?by mnie), aby si? za was zapisa? Usmiech. O 13. jeszcze nie powinno by? problemów z przepe?nieniem grup.  
[25-01-06 18:33] roolin:: a gdzie masz ten egzamin?  
[25-01-06 18:27] nirvanka:: roolin - bli?ej mam do siebie  
[25-01-06 18:25] roolin:: albo wpadniesz na II :]  
[25-01-06 18:22] nirvanka:: Aga, to ja pojade do siebie i wróc?:) Albo zachacz? o poblisk? kafejk? internetow?  
[25-01-06 18:16] tumdum:: biedactwo...  
[25-01-06 18:13] redrum:: bo jak zwykle k# nikt mnie nie poinformowa?!  
[25-01-06 18:13] redrum:: jasna ch... ja mam termin 02 02 :(  
[25-01-06 18:09] roolin:: dawno, dawno temu...  
[25-01-06 18:07] redrum:: kiedy zosta? zamkni?ty system g?osowania na przedmioty?  
[25-01-06 17:56] roolin:: tak jest, tylko si? przypomnij za wczasu...  
[25-01-06 17:54] q:: Ja mam 15:25 :) Mo?esz mi zajNie stawia się 2 pytajników po sobie. kryptografi?:) z poniedzia?kow? pracowni? :).  
[25-01-06 17:48] wiosna:: ja mam udzia? w g?osowaniu i ocenie zajNie stawia się 2 pytajników po sobie.... ale 77 punkty :) ale nie ciesz si? tak, przypominam ?e 1.02 to my mamy egzamin z psychologii do 12.00 a pó?niej czekamy na wpisy :]  
[25-01-06 17:43] roolin:: ja mam o 15:00  
[25-01-06 17:38] nirvanka:: nie wiem - ale mam: udzia? w g?osowaniu i ocenie zaj??, 79pktów. Btw b?d? mia?a pewnie zb?dnych 8p to mog? komu? co? zarezerwowa?  
[25-01-06 17:38] desp:: kurde, a ja o 15:35 :(  
[25-01-06 17:33] wiosna:: hmmm a ja zaczynam o 13.35 :/ Olka, sk?d dorwa?a? te 10 minut? :)  
[25-01-06 17:25] nirvanka:: tak w danych osobowych w systemie zapisów - jest to w wiadomo?ci jak? da?am w aktualno?ciach  
[25-01-06 17:23] q:: Jest gdzie? spis przedmiotów, na które si? g?osowa?o?  
[25-01-06 17:22] uzi:: ja 15:15 tego samego dnia. ciekawe kiedy wróc? z egzaminu z mechaniki teoretycznej :]  
[25-01-06 17:13] fala:: ;) ja te?. ale ja na g?upie przedmioty g?osowa?em, ola boga. kto? mo?e mi zajNie stawia się 2 pytajników po sobie. miejsce na modelowaniu? ja mog? komu? na sieciach, obiektowym i kryptografii  
[25-01-06 17:05] nirvanka:: o której zaczynacie zapisy w tym semestrze? bo ja 1.2.2006 g.13.25  
[25-01-06 17:00] fala:: no ja id? na basen w czwartek, ale chyba na 7:45 : ) a na si?k? na 15:30. mam nadziej?, ?e po tym na poniedzia?ek na ?wiczenia z dyskretnej ju? wyjd? ze szpitala ;D  
[25-01-06 16:56] nirvanka:: uzi jakbym mog?a si? "pluska?" jak to mi lekarka powiedzia?a - to bym na swój wczoraj i w przysz?y wtorek posz?a...  
[25-01-06 16:53] uzi:: nie lamowa?, tylko na basen w czwartek o 7 rano i??! full wolnych miejsc  
[25-01-06 16:52] roolin:: za to koszykówka u pani Sw?drowskiej wi?za?a si? z notorycznymi stanami przed zawa?owymi po zako?czeniu rozgrzewki :]  
[25-01-06 16:46] nirvanka:: ej to mo?e i ja tak pójd? odrobi?... i jednak dostan? to zaliczenie..  
[25-01-06 16:44] Mr C:: fala: w-f u p.Sw?drowskiej nie wi?za? si? z ?adnym programem treningowym, ka?dy robi co chce, jedni sobie siedli przy atlasie (?wiczy? jeden), a kole? za winklem Pottera czyta?  
[25-01-06 16:36] fala:: Chuck Norris, nie umiesz : P  
[25-01-06 16:24] nirvanka:: 83.27.204.175, zapisz si? na ZOSI? - nie mo?e Ci? tam zabrakn??  
[25-01-06 16:11] wiosna:: a mo?liwe, mo?liwe. nie wpad?am na to.  
[25-01-06 15:58] redrum:: go??bie zaczynaj? dzia?a? mi na nerwy  
[25-01-06 15:50] nirvanka:: ogl?dajcie dzisiaj aktualno?ci o 18 :D a tak swoj? drog?: Aga, z tymi grupami na stronie SLE to mo?e zosaniemy znowu podzieleni na równych i równiejszych na podstawie wyników np z po?ówki  
[25-01-06 15:14] q:: Za to s? ju? aktualno?ci z 31 stycznia :).  
[25-01-06 15:11] nirvanka:: dobra nowa uni jest... delikatnie mówi?c ?rednia..  
[25-01-06 15:03] fala:: a w jej sk?ad wchodzi ZPL. chaos ma swych agentów wsz?dzie!  
[25-01-06 15:03] q:: Aga, bo nie czytasz uwa?nie forum :) http://ii.yebood.com/viewtopic.php?t=872&start=52 . A ca?y uni te? ma now?: http://www.uni.wroc.pl/!nowastrona/?sec=informacje&left=aktualnosci &right=inicjatywy <http://www.uni.wroc.pl/!nowastrona/?sec=informacje&left=aktualnosci&right=inicjatywy>   
[25-01-06 14:42] wiosna:: czemu ja zawsze zauwa?am takie rzeczy ostatnia: od kiedy http://www.ii.uni.wroc.pl/ tak wygl?da?! i ?e mamy co? takiego jak 'rada biblioteczna' :)  
[25-01-06 14:39] wiosna:: q: podejrzewam, ?e tak jak zawsze - grupa sle osobno. EDIT no tak, albo p.Ko?cielski nudzi? si? podczas wakacji i wystuka? ich troch? wi?cej (slajdów oczywi?cie)  
[25-01-06 14:38] q:: Mo?e po prostu wolniejszy rzutnik kupili ;).  
[25-01-06 14:37] wiosna:: zaraz... chwilka... czy ja dobrze rozumiem, ?e w tym roku wyk?ad z algebry b?dzie trwa? 3 godziny?! <szyderczy ?miech> <turlam si?> ciekawe czy ktokolwiek to wytrzyma:)  
[25-01-06 14:35] q:: Co to s? Grupa I, Grupa II i Grupa III na stronie SLE?  
[25-01-06 14:14] cinu:: Ale z tym, ze koliduje z programowaniem to jest lipa :P  
[25-01-06 14:12] q:: na PKA jest "25.I - Algebra (wyk?ad) - poprawienie wymiaru godzin na 3 tygodniowo." wi?c nie do ko?ca lipa :).  
[25-01-06 14:01] uzi:: gnom z sekretariatu SPNJO mówi NO WAI  
[25-01-06 13:57] cinu:: i w dodatku koliduje z programowaniem. Jakas lipa :)  
[25-01-06 13:49] q:: o po?ow? wi?cej przyjemno?ci: ALGEBRA ?r 13-16 (wyk?ad) ANTONI KO?CIELSKI, sala 32  
[25-01-06 13:46] fala:: for all you horny StarGate lovers: http://www.the-underdogs.org/game.php?id=5309  
[25-01-06 13:23] kamil:: na silce wyciasku nie bedzie (rowerka tez nie :( ) ...jak dobrze zagadasz (tzn powiesz, ze zrealizowales juz swoj program treningowy) to posci Cie po godzince [opis dotyczy grup : Tomasza Jaworskiego]  
[25-01-06 12:58] fala:: hej musz? wf jeden odrobi? i si? zastanawia?em nad si?owni?, bo jest ko?o ii i nic nie trzeba na ni? umie? a ja jestem 'wysportowany inaczej'. czy kto? ma do?wiadczenia z t? form? wf-u i móg?by mi powiedzie?, czy dostan? tam wycisk i przyjedzie po mnie karetka, czy te? mog? i?? sobie popeda?owa? na rowerku?  
[25-01-06 11:07] msz: *:Mr C*: LOL, rzeczywiscie:D wina tego,ze alfabetycznie jestem na stronie 2, a pod wzlgedem daty dolaczenia na stronie 1 :)  
[25-01-06 6:16] MasterOfDisaster:: "Prawo i SprawiedliwoNie stawia się 2 pytajników po sobie. nadal zdecydowanie przewodzi, ale nie tak wyra?nie jak na pocz?tku stycznia." http://wiadomosci.onet.pl/1235944,11,item.html  
[25-01-06 1:44] Mr C:: to repeta i tak si? odb?dzie? hmm, dla mnie to i tak bez znaczenia, bo ile razy by?em, tyle razy zawiod?em || dziwne zjawisko, mo?e tylko u mnie: klikam U?ytkownicy, dalej wybieram tych na literk? "m" a tu msza nie ma, wybieram drug? stron?, te? nie ma, wracam na pierwsz? - ju? jest  
[24-01-06 23:17] q:: Wcale si? nie zdziwi?, je?li si? jutro mgr Bala ucieszy, ?e tak du?o osób na repeta przysz?o...  
[24-01-06 22:35] yanoo:: a jutro ?roda, która jest pi?tkiem. juppi  
[24-01-06 22:01] roolin:: ech... w tym semstrze zosta?o mi ju? tylko ko?o z Analizy, jedna lista z WWW i kilka egzaminów... normlanie pe?en luz...  
[24-01-06 21:58] dsk:: tilk: my?l?, ?e jest, jak napisa?e?.  
[24-01-06 21:41] tilk:: Czy ja dobrze my?l?, czy jutro jest pi?tek i wystarczy na 16-t? wpis z logiki odebraNie stawia się 2 pytajników po sobie.  
[24-01-06 21:33] MasterOfDisaster:: HA, jestem jednym z pierwszych :D :D :D Przy tej okazji chcia?bym pozdrowi? Mamusi? i Tatusia  
[24-01-06 20:38] yanoo:: ale tu ?yso :)  
[24-01-06 20:00] q:: Wcze?niejsze wpisy: http://ii.yebood.com/shoutbox_3.txt  
[24.01.06 19:24] yanoo : ewentualnie rower diab  
[24.01.06 19:24] yanoo : jest jeszcze niezawodna komunikacja miejska  
[24.01.06 17:03] fala : chciałem pojechać na basen ale nie udało mi się nawet otworzyć samochodu ;s  
[24.01.06 16:50] uzi : :f  
[24.01.06 16:42] michal : http://allegro.pl/show_item.php?item=83007470  
[24.01.06 16:20] nirvanka : http://wiadomosci.gazeta.pl/wiadomosci/1,53600,3126512.html?skad=rss a my się martwimy jakim -20...  
[24.01.06 15:51] q : ...ale przynajmniej zobaczę Chucka Norrisa Umiech.  
[24.01.06 15:32] uzi : Następny, który powie co o Chucku Norrisie, dostanie od Chucka Norrisa z półobrotu. I ja nie żartuję.  
[24.01.06 12:43] yanoo : Kazimiera Szczuka ma wade wymowy bo nasza urocza nirvanka kopnal ja z półobrotu  
[24.01.06 9:55] desp : http://www.allegro.pl/show_item.php?item=82441932  
[24.01.06 8:37] nirvanka : a ja mylałam że kto się tu znowu 'you' bawi i chyba się znowu pomyliłamUmiech  
[24.01.06 3:39] yanoo : co to za defetyzm?  
[24.01.06 3:35] kshaczek : niewyspany czak nirvanka  
[24.01.06 0:51] Adassow : q popsules Chucka Norrisa  
[24.01.06 0:34] msz : z pomocą Chucka Norrisa pewnie się uda :D  
[24.01.06 0:16] nirvanka : ej to ja moze jeszcze jutro to zrobię i wylę?Umiech  
[24.01.06 0:02] msz : i to z datą 24 stycznia, gratuluje:D  
[23.01.06 23:58] fala : ojapierdolejakzajebiciewysłalimypracownie  
[23.01.06 22:27] xormus : na numerkach były o metodach rozwiązywania układów równań liniowych: metoda faktotoryzacji oraz metoda elimiacji( z czesciowym i pełnym wyborem elementu głownego), tylko wstęp, bez żadnych analiz błędów  
[23.01.06 22:17] uzi : a nvmerki?  
[23.01.06 22:13] q : Ja byłem na całej jednej godzinie dyskretnej. GST pokazywał, że kilka problemów należy do tej samej klasy złożonoci, w sumie nic ciekawego.  
[23.01.06 22:02] roolin : w taką pizgawice? żartujesz sobie?  
[23.01.06 21:41] uzi : e, nikogo dzis na wykladach nie byo?  
[23.01.06 20:41] fala : jakiego terminu?! btw. tak, chcę ić na modelowanie, z którego wykład jest podczas ćwiczeń z aisd. :D  
[23.01.06 20:27] q : Odnonie czekoladek - załatwiłem przełożenie terminu na rodę będącą piątkiem Umiech. | A może tak: http://ii.yebood.com/www/alpha4.html ?  
[23.01.06 20:10] yanoo : można się przyzwyczaić ;]  
[23.01.06 20:09] wiosna : a tak oprócz tego to już wiem jak to jest dostać 0pkt ze sprawdzianu.... głupie uczucie Umiech więcej nie chcę  
[23.01.06 20:08] wiosna : brzydka pogoda powinna dać Wam co do mylenia... kwiatki i czekoladki na jutro od każdego i zastanowię się nas zmianą temperatury (jako wiosna mam uprawnienia)  
[23.01.06 19:56] q : fala: czy ty chcesz ić na modelowanie, z którego wykład jest w czasie ćwiczeń z aisd?  
[23.01.06 19:06] fala  *:Hegi*: tak, i do tego nasza urocza nirvanka kończył 13tkę :D  
[23.01.06 19:02] q : OMJB, apokalipsa: za oknem -30, a Grzesiu ma najlepszy wynik w grupie.  
[23.01.06 18:58] fala : ha! mam najwięcej punktów z mojej grupy, a zacząłęm się uczyć dzień przed! czy to znaczy, że jestem mądry? nie, to znaczy tylko, że nikt u nas w grupie nie miał więcej jak 1,5! :D  
[23.01.06 18:53] Hegi : Cytat z Krzysia: nasza urocza nirvanka jest ze Szczecina.  
[23.01.06 18:32] kamil : sa juz wyniki w grupie PKL  
[23.01.06 18:18] Issachar : dzięki, Mr C; a gdyby kto wiedział co dogładniej z tymi godzinami, to byłabym wdzięczna za ujawnienie szczegółów  
[23.01.06 18:15] Mr C : Issachar: Na Nankiera na drugim lub trzecim piętrze są salki angielskiego i pokoik lektorów, tudzież pani szefowej. Wpis z certyfikatu dają jak się tylko je zastanie i nie ma tłoku. Na drzwiach są podane godziny ale ja ich nie pamiętam.  
[23.01.06 18:07] uzi : heh... nie no, tego zwrotu użyłbym maks. 15 razy, ale pewnie nawet 5 nie będzie w sumie  
[23.01.06 17:57] roolin : masz to już pod jakim skrótem klawiszowym? ;)  
[23.01.06 17:51] uzi : kto zdygitalizuje md i an?  
[23.01.06 17:42] Issachar : Czy kto wie, w jakie dni i w jakich godzinach mozna dostać wpis z angielskiego do indeksu na podstawie certyfikatu? (Jeli kto wie, to byłabym wdzięczna gdyby się podzielił wiedzą) To tam na Nankiera jest, prawda?  
[23.01.06 16:56] roolin : AAAAAAAAAAAAAAAAA: http://sport.gazeta.pl/sport/1,65025,3125582.html  
[23.01.06 12:03] dsk : Jak zimno, to się wszyscy za wiosną stęsknili... ;)  
[23.01.06 11:38] fala : za to są już wyniki z 3ciej pracowni ;D trochę się popieszyli, ale częci osób nie robi to i tak różnicy.  
[23.01.06 11:02] msz : a w grupie PKE dalej nie ma:(  
[23.01.06 10:31] kshaczek : pierwszy! Sa wyniki kolokwium w grupie SLE.  
[23.01.06 10:12] yanoo : nasza kochana wiosna jeszcze nie dostała z półobrotu, więc jest nadzieja, że pogoda wróci  
[23.01.06 9:21] msz : LOL  
[23.01.06 9:16] q : diab  
[23.01.06 1:55] MasterOfDisaster : Pogody nie będzie. Ania dostała z półobrotu.  
[23.01.06 1:52] uzi : i może jeszcze nauczyć się elektromagnetyzmu? :p  
[23.01.06 1:22] maverick  * nasza urocza nirvanka moze wypic wiecej kawy niz:uzi*.  
[23.01.06 1:12] tumdum : uzi: ?  
[23.01.06 0:45] nirvanka : nasza urocza nirvanka jak ma angine to jedną ręką pisze numerki, drugą referat na ASK, jedną stopą idzie na basen żeby zaliczyć WF, a drugą drapie się po głowie myląc "ale jestem super"  
[23.01.06 0:21] roolin : nasza urocza nirvanka zdąży napisać numerki w ostatniej sekundzie  
[23.01.06 0:20] nirvanka : a ja chyba będę musiała zrezygnować z zadania z numerków :(  
[23.01.06 0:12] uzi : jajajajaja przedawkowałem kawę  
[22.01.06 23:20] Railman : nasza urocza nirvanka zawsze zdarzy wyslac numerki na sekunde przed koncem czasu  
[22.01.06 22:00] q : 26 godzin do 0 a dopiero cztery osoby wysłały rozwiązanie z numerków?  
[22.01.06 21:38] maverick : http://miasta.gazeta.pl/warszawa/1,34887,3121831.html  
[22.01.06 19:21] yagyu : http://di.com.pl/news/12586,1.html  
[22.01.06 17:49] q : q=frost?  
[22.01.06 17:13] Seb. : http://images.google.pl/images?q=frost  
[22.01.06 16:59] yanoo : za obraz dają już prawie 10 tys...  
[22.01.06 15:34] SaHaRR : "nirvanka: "Wpis na semestr 7: należy uzyskać ....." ". Nie masz czym się przejmowac. Na 3 roku bierze się po 2-3 zaawansowane na semestr. Wiec po co spieszyc ?  
[22.01.06 15:09] yanoo : lol  
[22.01.06 14:52] desp : http://www.allegro.pl/show_item.php?item=82693290  
[22.01.06 14:44] revo : hmm - dyskretna, lista 13, zadanie 6 - odpowiedź brzmi no. prawda? Umiech  
[22.01.06 14:12] nirvanka : no własnie chce ić na modelowanie, ale nie teraz... chciałam trochę odsapnąć i nie brać nic bardzo zajmującego poza obowiązkami  
[22.01.06 14:09] fala : nie, czemu? na 3cim roku na każdy semestr bierzesz 2 zaawansowane i SO lub bazy. 4x9 = 36. ps. ho na modelowanie ;)  
[22.01.06 13:57] nirvanka : "Wpis na semestr 7: należy uzyskać 27 p. z wykładów zaawansowanych" - czyli teraz juz by trzeba co wziąć... a chcialam sobie odpocząć w tym semestrze  
[22.01.06 10:12] fala : nowy problem synchronizacji dla piszących na SO: problem architekta lub inaczej - problem budowy biblioteki  
[22.01.06 9:38] wiosna : Z tego co pamiętam to ważniejszym problemem z biblioteką był... brak pieniędzy na jej dokończenie. A nie konflikt z architektem Umiech  
[22.01.06 5:45] MasterOfDisaster : Kto ma instalkę kompilatora java? - pada mi łącze a w poniedziałek mam pracownię.  
[22.01.06 3:24] uzi : dobranoc  
[22.01.06 1:28] yanoo : http://miasta.gazeta.pl/wroclaw/1,35751,3123393.html chyba jeszcze nikt nie wklejał  
[22.01.06 0:27] nirvanka : przez to wczorajsze stanie na mrozie mój ból gardła przerodził się chyba w anginę - cytując Konrada - sÓper  
[22.01.06 0:25] dsk : Paczesiowa napisał już tyle postów, że mu się licznik przekręcił... :P Ale za to jaka rednia browce/posty.  
